qclass redshift N_pre N_post echo_duration_w1 pre_median_flux_w1 pre_median_e_flux_w1 pre_median_total_flux_w1 pre_rms_flux_w1 post_max_flux_w1 post_mean_flux_w1 post1yr_max_flux_w1 post1yr_mean_flux_w1 post1yr_sum_flux_w1 e_post_max_flux_w1 name chi2 sigma_rise sigma_fade e_sigma_rise e_sigma_fade n_rise n_fade mean_color color_slope e_mean_color e_color_slope ra dec ndetections ndetections_negative ndetections_g ndetections_r median_color offset_rms_r offset_unc_r offset_sig_r offset_med_r offset_weighted_r offset_rms_g offset_unc_g offset_sig_g offset_med_g offset_weighted_g offset_sig offset_rms_ps1 offset_med_ps1 offset_sig_ps1 flare_n_pre flare_n_post flare_peak_mag flare_peak_jd flare_amplitude_mag flare_duration_day flare_postpeak_duration_day flare_prepeak_duration_day fEdd Lbol MBH MBH_ref df_over_rms rms_over_err
Unknown nan 9 5 698.917552664876 -3.1336082056690027e-06 5.840222999322754e-06 0.0003702034482160461 1.1979813003240894e-05 7.569953615058588e-05 6.310725599242262e-05 7.569953615058588e-05 6.327211235688409e-05 0.00018981633707065227 6.276437327411435e-06 ZTF18abddpsm 0.3145466014723424 178.11223731617437 116.74266150102252 27.458095859627583 128.39703562629452 188.0 10.0 -0.19879459639962777 -0.0010821136016322414 0.04074387764302101 0.0018147050420341039 266.0686792 41.1829081 198.0 0.0 142.0 56.0 0.0 0.2534932558071849 0.20495252523450405 0.8240781448436406 0.16533928393429992 0.16889689677626954 0.24002516849518946 0.20821261825355353 0.6481739251499057 0.15160542069700111 0.1349579900391447 0.8240781448436406 0.22612184463617171 0.09818151552885351 0.9818151552885351 145.0 20.0 19.7772 2458385.634 -1.2124999999999986 268.09049999993294 173.36359999980778 94.72690000012517 -1.0 4.308540019433233e+45 0.0 "" 5.281560934195476 2.0512595160544556
Unknown nan 11 3 350.78057682001963 4.401679002609861e-06 1.4601609060982216e-05 0.0012260978306104094 1.5621135589789733e-05 0.00036017629432357335 0.0002582682027701358 0.00036017629432357335 0.0002582682027701358 0.0007748046083104074 1.562424574448016e-05 ZTF18abqoxhy 2.252499657527835 999999999.9999993 78.67448972240406 0.0 0.0 7.0 10.0 -0.11968788438387706 0.0008155060520494008 -999.0 -999.0 20.7200893 17.9542155 17.0 0.0 14.0 3.0 0.0 0.1864339808083982 0.18379367780747652 0.7244572663177795 0.09070428435454887 0.13315066539089518 0.16488815281407943 0.174463587794924 0.8007123169453053 0.15483400789185325 0.13969514360586427 0.8007123169453053 0.15004749363292283 0.21814315479744573 2.1814315479744573 1.0 17.0 19.4032 2458699.0011 -0.7771000000000008 61.90469999983907 61.90469999983907 0.0 -1.0 1.0852987729308398e+45 0.0 "" 16.53325401892963 1.069822889008298
Unknown nan 7 3 453.26505659520626 5.5533000534004344e-05 3.0261864656447272e-05 0.00041694134544060417 8.874345665386112e-05 0.0008760248183368601 0.0007324549630318618 0.0008760248183368601 0.0007466110555198283 0.0014932221110396566 9.974213273027043e-06 ZTF19aavihif 0.8078691482346325 14.011853337725805 106.7018452882574 1.1320419330929352 3.9911263113300133 102.0 364.0 0.08836434612939416 -0.0016831469368664414 0.017379121745357426 0.0006176069474439061 278.3309038 34.6842225 495.0 0.0 261.0 206.0 0.0 0.19340413827399167 0.20821261825355353 0.5316004749289736 0.10629468659341955 0.11068592674979412 0.18770810337964994 0.24519215128418734 0.4940232265667875 0.11425336055841498 0.12113061770626611 0.5316004749289736 0.17357494178735083 0.1733257937931149 1.733257937931149 166.0 305.0 19.1589 2458652.7671 -1.6183000000000014 389.94510000012815 365.05910000018775 24.885999999940395 -1.0 1.8121023144134576e+45 0.0 "" 8.413139218048975 2.93251779628703
AGN 0.243 11 3 345.3859668900259 -1.525371756148814e-06 1.3980182516800722e-05 0.0005172234132387152 3.092075783909001e-05 0.0001887801797103591 0.000167448402633439 0.0001887801797103591 0.000167448402633439 0.0005023452079003169 1.5207748413962675e-05 ZTF19aanuvep 27.68945985123047 14.50028803531271 0.0 27.539343744818908 0.0 70.0 1.0 0.39052328115288387 0.0 0.37563867410518964 -999.0 220.6982801 0.9255281 90.0 0.0 48.0 42.0 0.0 0.1854398110567314 0.20638812368932472 0.6601884042945436 0.11333569602925318 0.13625504604380018 0.2934711231826237 0.22935637248613783 1.2957541715648022 0.3035705736679411 0.2971894764238837 0.6601884042945436 0.2177643309676691 0.178999910114526 1.78999910114526 66.0 22.0 19.6907 2458693.708 -0.8459000000000003 429.94087999965996 305.12929999968037 124.81157999997959 0.10207904996681451 6.809972452237138e+44 7.71026538331 L19 5.415404224722811 2.2117563774243223
Unknown 0.793 11 2 283.7191689899191 -8.825761674626942e-06 1.0101446550660837e-05 0.0006940636229561011 2.4694903248266127e-05 0.0001211127558297531 0.0001189703515681456 0.0001211127558297531 0.0001189703515681456 0.0002379407031362912 1.0999346667406665e-05 ZTF18acushfd 0.470760835000545 412.76141588281405 74.40268385165339 235.35147083527494 49.648523980788255 20.0 5.0 0.706615732936714 -0.0010359213012717063 0.23247533874141993 0.0029169296392842765 128.2692075 46.2418364 25.0 0.0 2.0 23.0 0.0 0.3249351887166908 0.22729320593399704 0.4990347912076576 0.14892430290936343 0.11342721756619134 0.0 0.0 -999.0 0.0 0.0 0.4990347912076576 0.4193118499019802 0.05163234659923123 0.5163234659923123 18.0 6.0 19.8703 2458860.8144 -1.2272999999999996 459.702769999858 39.90130000002682 419.80146999983117 -1.0 2.2084878550364742e+44 0.0 "" 4.817607518932018 2.4446897901618443
Unknown 0.359 11 3 330.7330770897679 2.2041770779084214e-06 1.2283177066682965e-05 0.0009216639470288278 4.186422794923604e-05 0.0001887099503761883 0.0001431025493121162 0.0001887099503761883 0.0001431025493121162 0.0004293076479363486 1.2623162911600493e-05 ZTF19aawfueb 3.562808321137194 999999999.9999993 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 308.930131 -6.7632376 22.0 0.0 18.0 4.0 0.0 0.13481011645610624 0.22668985676782882 0.924390180376727 0.2124636006609022 0.2095498775871877 0.24776523787908727 0.21380514235366674 0.8425396573752777 0.26931663524288707 0.18013931138373085 0.8425396573752777 0.2118284993875644 0.19854864567638747 1.9854864567638746 9.0 13.0 19.839 2458802.5926 -0.8080999999999996 535.6816000002436 341.0564000001177 194.62520000012591 -1.0 5.223896763972773e+44 0.0 "" 3.418253633761986 3.4082573036245702
AGN 0.0406 11 3 335.54598419973627 3.175593673557707e-05 1.8617364665699104e-05 0.0031642525802040708 6.268816799121737e-05 0.0007606551869891437 0.0006115481363691842 0.0007606551869891437 0.0006115481363691842 0.0018346444091075526 2.2738682856711265e-05 ZTF18aanxggu 4.811879279094066 370.59113288557216 0.0 2.221025461506578 0.0 673.0 1.0 0.19065018621330593 0.0 0.008815264699716784 -999.0 259.412785 32.7043437 908.0 0.0 417.0 413.0 0.0 0.13998848157662835 0.1292250192493698 0.4980240602818602 0.05315945827933993 0.06435716877657269 0.2146854040008679 0.15561159853944054 1.970286453401486 0.27861604543456797 0.30659942459441014 0.4980240602818602 0.16630430690322856 0.0641512278423125 0.641512278423125 649.0 258.0 17.8353 2458740.7644 -2.6610000000000014 862.7417000001296 428.8103000000119 433.9314000001177 0.5781982558253975 9.170957570510983e+44 7.08639455462 L19 9.755399718410375 3.3671880589369843
Unknown nan 12 2 235.60987207014114 1.7061585370192223e-06 1.0549436673819491e-05 0.0004969075953851094 1.8811896680297775e-05 0.00011142776986869783 0.00010511483333907819 0.00011142776986869783 0.00010511483333907819 0.00021022966667815637 1.1397757824560037e-05 ZTF19abgftqs 1.0330399426246228 209.48371932512285 0.0 25.386284761583912 0.0 55.0 1.0 0.13355069731881578 0.0 0.06227488250546808 -999.0 14.3899823 9.701612 55.0 0.0 32.0 23.0 0.0 0.24248809546709288 0.1859271600763446 0.8210066351035712 0.18988387609378704 0.15264743206864273 0.29669870662194775 0.21063461569379577 1.4528289214291061 0.3027454455482204 0.3060160615340516 0.8210066351035712 0.29106013733343583 0.28865108902777903 2.88651089027779 40.0 10.0 19.5115 2458802.7286 -1.2018999999999984 194.66559999994934 59.880599999800324 134.785000000149 -1.0 4.896268247607891e+44 0.0 "" 5.587678644289381 1.783213384936772
TDE? 0.101 10 4 220.73632925003767 -2.4810863363934125e-05 1.0759721566970052e-05 0.0007383607713571604 3.841413005259405e-05 0.0002793948898910772 0.00012247106714446715 0.0002793948898910772 0.0002611157721031574 0.0005222315442063148 1.2769932727634287e-05 ZTF19aaohxwd 1.1078065999261013 20.916040343038013 4.889434998083433e-06 2.7161537556292754 7.609441631981316e-05 12.0 1.0 -0.05364686084625803 -0.0009711541713424513 0.12038998830421815 0.01848331790156478 175.3478653 21.9368321 13.0 1.0 9.0 4.0 0.0 0.276760781488739 0.21126772636642943 1.3299857933776702 0.25486906753163485 0.2809830746665522 0.133973406313687 0.21000386534230694 0.5911319771351108 0.13670001607206897 0.12414000012581347 0.5911319771351108 0.17070875250669304 0.06642191216354024 0.6642191216354023 10.0 1.0 19.0109 2458605.7339 -1.0437000000000012 30.97039999999106 1.0097000002861023 29.960699999704957 0.0893986106655056 3.5452856312967894e+44 7.484377108690271 T13 6.797388662600331 3.5701788204740232
Unknown 0.0557 10 5 450.36557957995683 -1.8356215119777462e-05 2.7380354022511632e-05 0.0036776762791565 8.52344808298958e-05 0.003533503007480261 0.0010406080714512617 0.003533503007480261 0.002154854623884889 0.004309709247769778 4.781286990748049e-05 ZTF18abslbyb 2.5544520817981167 8.663717820552801 7216922.598741176 999.0 0.0 4.0 8.0 0.0952189489259613 -0.005789361700505342 -999.0 -999.0 16.3198422 -20.4667561 12.0 132.0 8.0 4.0 0.0 0.2813197845414215 0.17258390797988077 0.6185855291628839 0.21940848205061123 0.106757908042733 0.29481520500109765 0.16494716195642747 1.932428021656204 0.2661335153634507 0.3187485178572646 1.932428021656204 0.2430837711059645 0.1032544526941281 1.032544526941281 5.0 8.0 17.8156 2458372.833145 -1.561 59.93559999996796 50.9781550001353 8.95744499983266 -1.0 1.6051941747226257e+45 0.0 "" 25.2814894031604 3.1129795020114623
TDE? 0.0544 11 3 334.65307827992365 -2.555726873409478e-06 1.1753820420157179e-05 0.0010406451542879114 1.6399203807990893e-05 0.0009305922900084184 0.0004124512452825607 0.0009305922900084184 0.0004124512452825607 0.001237353735847682 1.6103728091434455e-05 ZTF19aaujlpo 0.45639581947258395 36.530139731656284 0.0 11.157899139137848 19053.479856367492 10.0 9.0 -0.288576675356288 -0.002904412527685347 0.11577066994221044 0.008694442423812116 208.1953173 20.4121453 19.0 0.0 16.0 3.0 0.0 0.25302480905482827 0.1950739254720564 0.8070797592460559 0.23064511956696032 0.15744021680517034 0.2383033089518761 0.17001957767000936 2.005959040517574 0.3246695581593335 0.3410523088921351 2.005959040517574 0.14884818851248294 0.04140446063256288 0.4140446063256288 17.0 2.0 19.2951 2458682.6683 -1.1433999999999997 79.92067130003124 10.02669999981299 69.89397130021825 1.5610203020354358 8.884993001069356e+44 6.64130518636227 T13 25.15068719870316 1.3952232739464974
Unknown nan 11 3 359.6015585400164 6.614270438099707e-06 9.162925079735089e-06 0.0003365170768302987 2.028956488494623e-05 0.00012754338383624218 0.00010815892638901086 0.00012754338383624218 0.00010815892638901086 0.00032447677916703257 1.051641162742895e-05 ZTF18acvhcyi 0.4662857676005665 245.3021339101723 208.57329912239052 8.585143807099799 34.49148792411884 327.0 103.0 0.16635562437047388 -0.0016533310894567262 0.030524371194356626 0.00025944395557548575 138.4295407 22.6307958 430.0 0.0 77.0 353.0 0.0 0.2216262020367739 0.2397908054951232 0.3206647539371395 0.0686326569386403 0.07689245964048215 0.2146116848427569 0.22923926016282636 0.17282506634961212 0.07186487317228246 0.03961829034757646 0.17282506634961212 0.21489752643513982 0.08683904451941381 0.868390445194138 200.0 190.0 19.4253 2458798.9947 -1.313600000000001 522.6612805998884 188.6903999997303 333.9708806001581 -1.0 1.1405684834023733e+45 0.0 "" 5.33076618460453 2.2143109005462724
Unknown nan 11 3 405.0753836799413 -9.82965954612638e-06 6.141322576674514e-06 0.0005014070726464105 3.14555250561806e-05 0.000211637206405075 0.00018940273154864173 0.000211637206405075 0.0001830799457392453 0.0003661598914784906 7.060587995742132e-06 ZTF19aalfali 0.5794186610043142 70.57710290782124 280.63794766180195 2.62558847748399 26.21006004559766 245.0 294.0 -0.1195651373242802 0.0004960960407653119 0.015848559552875105 0.0003315825514509763 267.0653332 55.2370275 641.0 0.0 360.0 274.0 0.0 0.22148350242827997 0.20681504394023176 1.1684042135449735 0.2379968277823118 0.24164356876425563 0.2581874943600492 0.24793399444206926 0.7846022638898315 0.19001802970968565 0.19452957333449644 1.1684042135449735 0.22575337051635402 0.07157025447582988 0.7157025447582988 245.0 357.0 19.3052 2458677.8437 -1.5594999999999999 628.6452999999747 491.7536999997683 136.89160000020638 -1.0 1.4472712676126927e+45 0.0 "" 5.820279439375389 5.12194639891617
Unknown nan 9 4 525.4428654797375 1.1721501580049679e-05 7.798539513305415e-06 0.0008469749947674892 3.703099019024301e-05 0.0003546649284209917 0.0002466631585819531 0.00026881335686785673 0.00021066256863560691 0.0006319877059068207 1.090767623624104e-05 ZTF19aanetch 0.8863427876415487 159.7595111470017 0.0 32.02092028235532 0.0 46.0 1.0 0.07150018897277846 0.0 0.06392410625413682 -999.0 169.5790358 77.2921232 89.0 0.0 62.0 27.0 0.0 1.4449736650842486 0.2518924124245052 3.5907268891764947 0.8637259065044233 0.9044768584722063 1.777253237830872 0.2226524795686419 4.194283125738597 0.37466942706880285 0.9338675379586124 4.194283125738597 1.6574768830727342 0.6810336572956666 3.8762885557185065 30.0 52.0 19.4773 2458617.6784 -1.1452999999999989 468.8952731001191 410.0378731000237 58.85740000009537 -1.0 2.435169721655043e+45 0.0 "" 5.688818137277697 4.748451953992524
Unknown 0.442 11 3 415.4470731248148 -1.338269925192932e-05 1.2889435631125736e-05 0.0009402901636944019 5.0000459947984493e-05 0.00021528368274451024 0.00020359318298913108 0.00021528368274451024 0.00020100794904951913 0.00040201589809903826 1.3265012589762155e-05 ZTF18acefilj 35.31672791248243 1.0000000000000007e-09 87.85081589242249 1.873635667526389e-08 5.081201618036088 195.0 69.0 -0.005584962062210938 0.0008134488474872361 0.3928443059204831 0.0014107743501965955 142.4618189 19.4930101 298.0 0.0 40.0 257.0 0.0 0.19094876575846542 0.1761646003032391 0.5766150259985698 0.10904672758570949 0.10157915558387988 0.35605245300494676 0.1772195681415317 2.4533521999697596 0.4180547179463322 0.4347820173777175 0.5766150259985698 0.20764264155231196 0.08058021855011796 0.8058021855011795 193.0 97.0 19.1778 2458750.0162 -1.4247999999999976 798.9931799997576 474.97509999992326 324.0180799998343 -1.0 7.321146926860308e+44 0.0 "" 4.020122000050156 3.87918147690207
Unknown nan 11 3 328.53333730995655 -4.227096934082407e-06 6.989140805397615e-06 0.0008254557174326697 1.4974162781013401e-05 0.0002964870182685641 0.00016116580158333986 0.0002964870182685641 0.00016116580158333986 0.0004834974047500196 6.488584250830733e-06 ZTF19acaakoh 10.58156158558358 48.08326112068523 95.0 0.0 0.0 1.0 89.0 3.0 0.06009917683704876 -999.0 -999.0 268.4173428 55.8575856 124.0 0.0 76.0 47.0 0.0 0.37097967477348476 0.1611189270215493 2.643689409145148 0.46621542832518165 0.42594840097969994 0.344199730025828 0.1977456507739172 0.6796409676433065 0.20752758840002153 0.13439604543924044 2.643689409145148 0.381425773115472 0.21090930517929338 2.1090930517929336 26.0 81.0 19.5323 2458758.7675 -1.2974999999999994 281.1024000002071 243.14580000005662 37.9566000001505 -1.0 9.520003912925558e+44 0.0 "" 10.762925710123254 2.1424897849316564
